number,value,datetime_start,datetime_complete,duration,params_activation_0,params_activation_1,params_activation_2,params_batch_size,params_layer_size_0,params_layer_size_1,params_layer_size_2,params_lr,params_num_layers,params_optimizer,state
32,0.9644166666666667,2024-10-26 10:47:25.348553,2024-10-26 10:51:02.128300,0 days 00:03:36.779747,silu,,,64,128,,,0.08540093099271145,1,SGD,COMPLETE
33,0.8550833333333333,2024-10-26 10:51:02.146900,2024-10-26 10:51:23.859443,0 days 00:00:21.712543,leaky_relu,,,64,16,,,0.09695096992898744,1,SGD,PRUNED
34,0.96275,2024-10-26 10:51:23.871775,2024-10-26 10:54:59.494619,0 days 00:03:35.622844,silu,,,128,128,,,0.04891135443361526,1,SGD,COMPLETE
35,0.8626666666666667,2024-10-26 10:54:59.513690,2024-10-26 10:55:21.265941,0 days 00:00:21.752251,silu,,,64,128,,,0.008103165589447571,1,SGD,PRUNED
36,0.13191666666666665,2024-10-26 10:55:21.280012,2024-10-26 10:55:42.958373,0 days 00:00:21.678361,gelu,,,64,128,,,1.1620442137093338e-05,1,SGD,PRUNED
37,0.851,2024-10-26 10:55:42.971431,2024-10-26 10:56:04.776416,0 days 00:00:21.804985,leaky_relu,,,64,32,,,0.026516836333170167,1,SGD,PRUNED
38,0.8511666666666666,2024-10-26 10:56:04.788510,2024-10-26 10:56:26.481504,0 days 00:00:21.692994,tanh,,,128,16,,,0.05268224685773246,1,SGD,PRUNED
39,0.8114166666666667,2024-10-26 10:56:26.495555,2024-10-26 10:56:48.505149,0 days 00:00:22.009594,silu,,,64,512,,,0.004443062956971079,1,RMSprop,PRUNED
40,0.8795833333333334,2024-10-26 10:56:48.518208,2024-10-26 10:57:10.317119,0 days 00:00:21.798911,gelu,,,64,128,,,0.008532706952989457,1,SGD,PRUNED
41,0.9638333333333333,2024-10-26 10:57:10.330115,2024-10-26 11:00:47.561403,0 days 00:03:37.231288,silu,,,64,128,,,0.060116294868793864,1,SGD,COMPLETE
42,0.9639166666666666,2024-10-26 11:00:47.579464,2024-10-26 11:04:24.553736,0 days 00:03:36.974272,silu,,,64,128,,,0.09957527089858742,1,SGD,COMPLETE
43,0.968,2024-10-26 11:04:24.572822,2024-10-26 11:08:01.709262,0 days 00:03:37.136440,silu,,,64,128,,,0.05604027523831301,1,SGD,COMPLETE
44,0.57325,2024-10-26 11:08:01.725262,2024-10-26 11:08:23.770391,0 days 00:00:22.045129,silu,,,64,32,,,0.04116034157194693,1,RMSprop,PRUNED
45,0.886,2024-10-26 11:08:23.784351,2024-10-26 11:08:45.706621,0 days 00:00:21.922270,tanh,sigmoid,gelu,128,128,64.0,512.0,0.029239726304196353,3,SGD,PRUNED
46,,2024-10-26 11:08:45.723182,2024-10-26 11:09:54.309600,0 days 00:01:08.586418,silu,,,64,256,,,0.02097600863960494,1,SGD,FAIL
