number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_fc_units_0,params_fc_units_1,params_fc_units_2,params_kernel_size_0,params_kernel_size_1,params_kernel_size_2,params_lr,params_num_conv_layers,params_num_fc_layers,params_num_filters_0,params_num_filters_1,params_num_filters_2,params_optimizer,params_pool_size_0,params_pool_size_1,params_pool_size_2,state
23,0.9043333530426025,2024-10-26 13:06:58.205207,2024-10-26 13:09:24.955038,0 days 00:02:26.749831,relu,64.0,0.0024278696605550265,256.0,,,5.0,,,0.00013573385831996892,1,1.0,32,,,Adam,3.0,,,COMPLETE
24,0.9099166393280029,2024-10-26 13:08:31.702252,2024-10-26 13:10:56.053282,0 days 00:02:24.351030,relu,32.0,0.3543917178587272,256.0,,,5.0,5.0,,0.0020723439229884412,2,1.0,32,32.0,,Adam,3.0,2.0,,COMPLETE
25,0.8911666870117188,2024-10-26 13:09:24.485890,2024-10-26 13:11:10.477823,0 days 00:01:45.991933,relu,32.0,0.22188131826355884,256.0,,,5.0,5.0,,0.00206424539187899,2,1.0,32,32.0,,RMSprop,3.0,2.0,,COMPLETE
26,0.8974166512489319,2024-10-26 13:09:24.720268,2024-10-26 13:11:10.509071,0 days 00:01:45.788803,relu,32.0,0.1024769537523215,256.0,,,5.0,5.0,,0.002232442008936231,2,1.0,32,32.0,,RMSprop,3.0,2.0,,COMPLETE
27,0.9014166593551636,2024-10-26 13:09:24.986290,2024-10-26 13:11:10.868203,0 days 00:01:45.881913,relu,32.0,0.11751160556957085,256.0,,,5.0,5.0,,0.0019803343317833185,2,1.0,32,32.0,,RMSprop,3.0,2.0,,COMPLETE
28,0.9067500233650208,2024-10-26 13:10:56.100111,2024-10-26 13:11:58.488625,0 days 00:01:02.388514,relu,32.0,0.37036005494686525,64.0,,,5.0,5.0,,0.0022133697662218995,2,1.0,32,32.0,,Adam,3.0,2.0,,COMPLETE
29,0.8361666798591614,2024-10-26 13:11:10.524697,2024-10-26 13:11:24.915572,0 days 00:00:14.390875,relu,32.0,0.38238672986011424,64.0,,,5.0,5.0,,0.000465160220520523,2,1.0,16,32.0,,Adam,3.0,2.0,,PRUNED
30,0.8800833225250244,2024-10-26 13:11:10.555947,2024-10-26 13:11:46.748657,0 days 00:00:36.192710,relu,32.0,0.36392028085827294,64.0,,,5.0,5.0,,0.0003842808879714831,2,1.0,64,32.0,,Adam,3.0,2.0,,PRUNED
31,0.8005833625793457,2024-10-26 13:11:10.946653,2024-10-26 13:11:23.027767,0 days 00:00:12.081114,relu,128.0,0.3838128526103034,64.0,,,5.0,5.0,,0.00030688492079151974,2,1.0,64,32.0,,Adam,3.0,2.0,,PRUNED
32,0.8535000085830688,2024-10-26 13:57:32.878406,2024-10-26 13:58:07.674025,0 days 00:00:34.795619,relu,,0.45578687336367485,,256.0,,,,,0.00785803192575769,2,,32,32.0,,RMSprop,,,,PRUNED
33,0.8487499952316284,2024-10-26 13:57:32.894031,2024-10-26 13:58:07.893617,0 days 00:00:34.999586,relu,,0.30284689524270386,,256.0,,,,,0.007768086800216228,2,,32,32.0,,RMSprop,,,,PRUNED
34,0.874750018119812,2024-10-26 13:57:32.909655,2024-10-26 13:58:17.430921,0 days 00:00:44.521266,relu,,0.30583889470412945,,256.0,,,,,0.007993254611365883,2,,32,32.0,,RMSprop,,,,PRUNED
35,0.8665000200271606,2024-10-26 13:57:32.925280,2024-10-26 13:58:07.460061,0 days 00:00:34.534781,relu,,0.45677206931244146,,256.0,,,,,0.0071032268976985,2,,32,32.0,,RMSprop,,,,PRUNED
36,0.9006666541099548,2024-10-26 13:58:07.506942,2024-10-26 14:02:43.752502,0 days 00:04:36.245560,relu,,0.30252106424714575,,,128.0,,,,0.0012379911514109549,3,,32,128.0,128.0,RMSprop,,,,COMPLETE
37,0.8989999890327454,2024-10-26 13:58:07.721317,2024-10-26 14:01:00.010059,0 days 00:02:52.288742,relu,,0.2849781969794619,,,64.0,,,,0.001200468478018085,3,,32,16.0,128.0,RMSprop,,,,COMPLETE
38,0.9145833253860474,2024-10-26 13:58:07.924866,2024-10-26 14:02:06.830889,0 days 00:03:58.906023,tanh,,0.19082322670374147,,,64.0,,,,0.0005375054744215796,3,,32,128.0,128.0,Adam,,,,COMPLETE
39,0.6101666688919067,2024-10-26 13:58:17.477804,2024-10-26 13:59:12.257622,0 days 00:00:54.779818,tanh,,0.18372839788133757,,,128.0,,,,0.0005868262478364906,3,,128,128.0,128.0,SGD,,,,PRUNED
40,0.9075000286102295,2024-10-26 13:59:12.304496,2024-10-26 14:02:05.314697,0 days 00:02:53.010201,tanh,,0.04919585766103417,,,64.0,,,,0.001421137223224213,3,,16,16.0,128.0,Adam,,,,COMPLETE
41,0.875083327293396,2024-10-26 14:01:00.072558,2024-10-26 14:01:51.318802,0 days 00:00:51.246244,tanh,,0.24308234973830634,256.0,,,,,,0.004372926915675656,1,,16,,,Adam,,,,PRUNED
42,0.2134999930858612,2024-10-26 14:01:51.365673,2024-10-26 14:02:19.869035,0 days 00:00:28.503362,relu,,0.18047786439360275,,,256.0,,,,0.00020490641843851748,3,,16,128.0,32.0,SGD,,,,PRUNED
43,0.5510833263397217,2024-10-26 14:02:05.361573,2024-10-26 14:02:41.720648,0 days 00:00:36.359075,relu,,0.42511625148464854,256.0,,,,,,0.000193373489684414,1,,128,,,SGD,,,,PRUNED
44,0.8579999804496765,2024-10-26 14:02:06.862139,2024-10-26 14:02:46.439393,0 days 00:00:39.577254,tanh,,0.18172034828430603,,,256.0,,,,0.00021998297319994885,3,,32,128.0,32.0,Adam,,,,PRUNED
45,0.9174166917800903,2024-10-26 14:02:43.783746,2024-10-26 14:06:08.427676,0 days 00:03:24.643930,tanh,,0.11603656257233266,,,64.0,,,,0.0006458723011225203,3,,32,128.0,128.0,Adam,,,,COMPLETE
46,0.918583333492279,2024-10-26 14:02:46.470643,2024-10-26 14:06:07.333918,0 days 00:03:20.863275,tanh,,0.2522377459600669,,128.0,,,,,0.0006082313541940605,2,,64,128.0,,Adam,,,,COMPLETE
47,0.92208331823349,2024-10-26 14:06:08.443297,2024-10-26 14:08:17.350732,0 days 00:02:08.907435,tanh,,0.12361946420484013,,,64.0,,,,0.0006224423091166731,3,,64,128.0,128.0,Adam,,,,COMPLETE
